azimuth,move(abs/nor/sun),zenith,mode(vis,swi,bot,non),action(irr/rad/bot/bla/cal/pic/non),int_time(ms,0:ins),repeat_mea(or mea_time), mea_time(sec, or repeat_mea)
090.0, nor, 180.0, bot, irr, 0, 10, 0
090.0, nor, 180.0, bot, bla, 0, 3, 0
090.0, nor, 180.0, non, pic, 0, 1, 0
083.0, nor, 030.0, bot, rad, 0, 10, 0
083.0, nor, 030.0, bot, bla, 0, 3, 0
098.0, nor, 030.0, bot, rad, 0, 10, 0
098.0, nor, 030.0, bot, bla, 0, 3, 0
113.0, nor, 030.0, bot, rad, 0, 10, 0
113.0, nor, 030.0, bot, bla, 0, 3, 0
113.0, nor, 020.0, bot, rad, 0, 10, 0
113.0, nor, 020.0, bot, bla, 0, 3, 0
098.0, nor, 020.0, bot, rad, 0, 10, 0
098.0, nor, 020.0, bot, bla, 0, 3, 0
083.0, nor, 020.0, bot, rad, 0, 10, 0
083.0, nor, 020.0, bot, bla, 0, 3, 0
083.0, nor, 010.0, bot, rad, 0, 10, 0
083.0, nor, 010.0, bot, bla, 0, 3, 0
098.0, nor, 010.0, bot, rad, 0, 10, 0
098.0, nor, 010.0, bot, bla, 0, 3, 0
113.0, nor, 010.0, bot, rad, 0, 10, 0
113.0, nor, 010.0, bot, bla, 0, 3, 0
113.0, nor, 005.0, bot, rad, 0, 10, 0
113.0, nor, 005.0, bot, bla, 0, 3, 0
098.0, nor, 005.0, bot, rad, 0, 10, 0
098.0, nor, 005.0, bot, bla, 0, 3, 0
083.0, nor, 005.0, bot, rad, 0, 10, 0
083.0, nor, 005.0, bot, bla, 0, 3, 0
083.0, nor, 000.0, bot, rad, 0, 10, 0
083.0, nor, 000.0, bot, bla, 0, 3, 0
083.0, nor, 000.0, non, pic, 0, 1, 0
263.0, nor, 005.0, bot, rad, 0, 10, 0
263.0, nor, 005.0, bot, bla, 0, 3, 0
278.0, nor, 005.0, bot, rad, 0, 10, 0
278.0, nor, 005.0, bot, bla, 0, 3, 0
293.0, nor, 005.0, bot, rad, 0, 10, 0
293.0, nor, 005.0, bot, bla, 0, 3, 0
293.0, nor, 010.0, bot, rad, 0, 10, 0
293.0, nor, 010.0, bot, bla, 0, 3, 0
278.0, nor, 010.0, bot, rad, 0, 10, 0
278.0, nor, 010.0, bot, bla, 0, 3, 0
263.0, nor, 010.0, bot, rad, 0, 10, 0
263.0, nor, 010.0, bot, bla, 0, 3, 0
263.0, nor, 020.0, bot, rad, 0, 10, 0
263.0, nor, 020.0, bot, bla, 0, 3, 0
278.0, nor, 020.0, bot, rad, 0, 10, 0
278.0, nor, 020.0, bot, bla, 0, 3, 0
293.0, nor, 020.0, bot, rad, 0, 10, 0
293.0, nor, 020.0, bot, bla, 0, 3, 0
293.0, nor, 030.0, bot, rad, 0, 10, 0
293.0, nor, 030.0, bot, bla, 0, 3, 0
278.0, nor, 030.0, bot, rad, 0, 10, 0
278.0, nor, 030.0, bot, bla, 0, 3, 0
263.0, nor, 030.0, bot, rad, 0, 10, 0
263.0, nor, 030.0, bot, bla, 0, 3, 0
263.0, nor, 180.0, bot, irr, 0, 10, 0
263.0, nor, 180.0, bot, bla, 0, 3, 0
263.0, nor, 180.0, non, pic, 0, 1, 0
